book_id,isbn13,language_id,num_pages,publication_date,publisher_id,publisher_name_x,publisher_name_y,author,order_count,title
1,8987059752,2,276,1996-09-01,1010,Ignatius Press,Ignatius Press,Fulton J. Sheen,6,The World's First Love: Mary  Mother of God
2,20049130001,1,352,2004-10-04,1967,Thomas Nelson,Thomas Nelson,Larry Burkett,3,The Illuminati
3,23755004321,1,128,2003-03-11,1967,Thomas Nelson,Thomas Nelson,Kenneth H. Blanchard,3,The Servant Leader
4,34406054602,1,168,1999-09-01,1978,Time Life Medical,Time Life Medical,Time-Life Books,5,What Life Was Like in the Jewel in the Crown: British India  AD 1600-1905
5,49086007763,1,80,1983-12-29,416,Cliffs Notes,Cliffs Notes,W. John Campbell,2,Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs
6,73999140774,1,298,2000-04-01,96,Applause Theatre & Cinema Book Publishers,Applause Theatre & Cinema Book Publishers,Pedro Calderón de la Barca,7,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II
6,73999140774,1,298,2000-04-01,96,Applause Theatre & Cinema Book Publishers,Applause Theatre & Cinema Book Publishers,Eric Bentley,7,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II
6,73999140774,1,298,2000-04-01,96,Applause Theatre & Cinema Book Publishers,Applause Theatre & Cinema Book Publishers,Roy Campbell,7,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II
6,73999140774,1,298,2000-04-01,96,Applause Theatre & Cinema Book Publishers,Applause Theatre & Cinema Book Publishers,Miguel de Cervantes Saavedra,7,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II
6,73999140774,1,298,2000-04-01,96,Applause Theatre & Cinema Book Publishers,Applause Theatre & Cinema Book Publishers,Tirso de Molina,7,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II
6,73999140774,1,298,2000-04-01,96,Applause Theatre & Cinema Book Publishers,Applause Theatre & Cinema Book Publishers,Lope de Vega,7,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II
7,73999254907,2,504,2000-05-01,95,Applause Books,Applause Books,William Goldman,8,William Goldman: Four Screenplays
8,73999768442,1,448,2004-07-01,1136,Limelight,Limelight,William Goldman,7,The Season: A Candid Look at Broadway
9,73999960822,1,303,1986-12-01,835,Hal Leonard Publishing Corporation,Hal Leonard Publishing Corporation,The Beatles,4,The Beatles Complete - Updated Edition
10,76092025986,1,464,2004-09-01,1591,Prentice Hall,Prentice Hall,Michael C. Feathers,1,Working Effectively with Legacy Code
11,76783609419,1,2088,1998-10-06,1891,Starfire,Starfire,L.M. Montgomery,7,The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8)
12,635517047547,1,48,1999-10-25,567,DK Publishing (Dorling Kindersley),DK Publishing (Dorling Kindersley),Richard Platt,1,Plants Bite Back! (DK Readers)
13,645241001173,1,438,2000-05-31,435,Conari Press,Conari Press,Mark Nepo,5,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have
14,694055000612,1,64,2001-03-01,1739,Ryland Peters & Small,Ryland Peters & Small,Jason Lowe,1,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen
14,694055000612,1,64,2001-03-01,1739,Ryland Peters & Small,Ryland Peters & Small,Maxine Clark,1,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen
14,694055000612,1,64,2001-03-01,1739,Ryland Peters & Small,Ryland Peters & Small,Ursula Ferrigno,1,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen
15,702727014581,1,172,2004-10-12,35,ADV Manga,ADV Manga,Junichi Satō,2,Prétear  Vol. 3 (Prétear  #3)
15,702727014581,1,172,2004-10-12,35,ADV Manga,ADV Manga,Kaori Naruse,2,Prétear  Vol. 3 (Prétear  #3)
16,710430023622,1,145,2001-04-01,354,Carole Marsh Mysteries,Carole Marsh Mysteries,Carole Marsh,8,The Mystery in the Rocky Mountains
17,710430023639,1,142,2001-04-01,354,Carole Marsh Mysteries,Carole Marsh Mysteries,Carole Marsh,3,The Mystery on the Mighty Mississippi
18,752063326664,1,576,2004-07-08,1749,Sams,Sams,Stephen G. Kochan,6,Programming in C
19,752063326725,2,1008,2004-10-01,1749,Sams,Sams,Laura Thomson,2,PHP and MySQL Web Development (Developer's Library)
19,752063326725,2,1008,2004-10-01,1749,Sams,Sams,Luke Welling,2,PHP and MySQL Web Development (Developer's Library)
20,752073003227,1,175,2003-11-25,313,BradyGames,BradyGames,Tim Bogenn,7,Manhunt Official Strategy Guide
21,760789719271,1,272,2003-04-01,1859,Sourcebooks,Sourcebooks,Raeleen D'Agostino Mautner,4,Living La Dolce Vita: Bring the Passion  Laughter  and Serenity of Italy Into Your Daily Life
22,761568107371,1,256,2005-10-26,490,Dark Horse Books,Dark Horse Books,Michael Jan Friedman,5,Aliens: Original Sin
23,785342303476,2,296,2005-02-17,1461,Peachpit Press,Peachpit Press,Molly E. Holzschlag,5,The Zen of CSS Design: Visual Enlightenment for the Web
23,785342303476,2,296,2005-02-17,1461,Peachpit Press,Peachpit Press,Dave Shea,5,The Zen of CSS Design: Visual Enlightenment for the Web
24,785342314526,5,720,1997-09-27,34,Addison-Wesley Professional,Addison-Wesley Professional,Robert Sedgewick,3,Algorithms in C  Parts 1-4: Fundamentals  Data Structures  Sorting  Searching
25,798499100096,1,175,2005-02-23,479,Crystal Clarity Publishers,Crystal Clarity Publishers,Peter Van Houten,4,Healing Therapies for Overcoming Insomnia
25,798499100096,1,175,2005-02-23,479,Crystal Clarity Publishers,Crystal Clarity Publishers,Rich McCord,4,Healing Therapies for Overcoming Insomnia
26,9780001000391,1,127,2010-01-01,1735,Rupa & Co,Rupa & Co,جبران خليل جبران,5,The Prophet
26,9780001000391,1,127,2010-01-01,1735,Rupa & Co,Rupa & Co,Kahlil Gibran,5,The Prophet
26,9780001000391,1,127,2010-01-01,1735,Rupa & Co,Rupa & Co,Jihad El,5,The Prophet
27,9780001713192,1,64,1985-06-17,425,Collins,Collins,P.D. Eastman,2,Sam And The Firefly (Beginner Books)
28,9780002310192,1,251,2001-07-02,882,HarperCollins,HarperCollins,Agatha Christie,2,After the Funeral
29,9780002317856,1,242,2003-08-04,569,Dodd Mead; 1st edition (September 1976),Dodd Mead; 1st edition (September 1976),Agatha Christie,3,Sleeping Murder (Miss Marple  #13)
30,9780006163831,5,479,1996-11-18,723,Fontana,Fontana,,1,The One Tree (The Second Chronicles of Thomas Covenant  #2)
31,9780006176954,1,698,1990-04-26,724,Fontana Books,Fontana Books,,9,The Great And Secret Show (Book of the Art #1)
32,9780006178736,1,512,1999-08-03,889,HarperCollins Publishers,HarperCollins Publishers,Sidney Sheldon,4,Rage of Angels
33,9780006280897,2,170,2002-06-05,891,HarperCollins Publishers Ltd,HarperCollins Publishers Ltd,C.S. Lewis,6,The Four Loves
34,9780006281146,2,384,1998-10-05,730,Fount,Fount,Dallas Willard,6,Divine Conspiracy: Rediscovering Our Hidden Life in God
35,9780006353287,1,560,2001-01-02,882,HarperCollins,HarperCollins,Agatha Christie,4,Agatha Christie: An Autobiography
35,9780006353287,1,560,2001-01-02,882,HarperCollins,HarperCollins,Robert Welch Herrick,4,Agatha Christie: An Autobiography
36,9780006380832,1,608,1998-01-01,889,HarperCollins Publishers,HarperCollins Publishers,Richard Seymour Hall,5,Empires of the Monsoon: A History of the Indian Ocean and Its Invaders
37,9780006479758,1,1273,1998-01-01,882,HarperCollins,HarperCollins,Tom Clancy,5,Executive Orders (Jack Ryan  #8)
38,9780006482079,1,522,2009-07-01,2140,Voyager,Voyager,Janny Wurts,4,Warhost of Vastmark (Wars of Light & Shadow  #3; Arc 2 - The Ships of Merior  #2)
39,9780006482642,1,594,1997-05-01,880,Harper Voyager,Harper Voyager,Clive Barker,5,Sacrament
40,9780006490456,1,352,1995-10-07,891,HarperCollins Publishers Ltd,HarperCollins Publishers Ltd,Agatha Christie,3,Witness for the Prosecution and Selected Plays
41,9780006496434,1,368,1998-02-01,889,HarperCollins Publishers,HarperCollins Publishers,Philippa Gregory,6,The Little House
42,9780006496878,1,576,1996-07-01,889,HarperCollins Publishers,HarperCollins Publishers,Susan Howatch,5,Mystical Paths (Starbridge  #5)
43,9780006496892,1,512,1996-07-22,723,Fontana,Fontana,Susan Howatch,3,Glittering Images (Starbridge  #1)
44,9780006496908,1,480,2009-07-22,864,Harper,Harper,Susan Howatch,3,Scandalous Risks
45,9780006496922,5,512,1996-07-22,882,HarperCollins,HarperCollins,Susan Howatch,4,Glamorous Powers (Starbridge  #2)
46,9780006498865,1,906,2008-02-04,880,Harper Voyager,Harper Voyager,Robin Hobb,4,The Mad Ship (Liveship Traders  #2)
47,9780006499268,1,261,2010-04-01,882,HarperCollins,HarperCollins,Patrick O'Brian,4,The Reverse of the Medal (Aubrey & Maturin #11)
48,9780006499619,1,688,1997-07-10,869,Harper Collins,Harper Collins,Agatha Christie,2,Miss Marple Omnibus Vol. 3 (Murder at the Vicarage / Nemesis / Sleeping Murder / At Bertram's Hotel)
49,9780006511779,1,432,2001-02-01,889,HarperCollins Publishers,HarperCollins Publishers,Philippa Gregory,0,Zelda's Cut
50,9780006512677,1,317,1998-11-02,882,HarperCollins,HarperCollins,Michael Marshall Smith,2,Spares
51,9780006514640,1,640,2002-02-01,889,HarperCollins Publishers,HarperCollins Publishers,Philippa Gregory,3,The Wise Woman
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Jenny Colgan,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Meg Cabot,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Sarah Mlynowski,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Anna Maxted,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Lisa Jewell,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Marian Keyes,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Megan McCafferty,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Emily Barr,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Louise Bagshawe,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Jennifer Weiner,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Fiona Walker,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Lynda Curnyn,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Stella Duffy,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Sophie Kinsella,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Alisa Valdes,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Lauren Henderson,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Isabel Wolff,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Adèle Lang,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Jill A. Davis,7,Girls' Night In
52,9780006514855,5,586,2000-07-03,882,HarperCollins,HarperCollins,Carole Matthews,7,Girls' Night In
53,9780006540809,5,416,1995-10-09,712,Flamingo,Flamingo,Simone de Beauvoir,4,She Came to Stay
54,9780006550433,1,352,2004-10-01,873,Harper Perennial,Harper Perennial,,3,The Bonesetter's Daughter
55,9780006646006,1,32,2002-07-01,892,HarperCollins UK,HarperCollins UK,Mark Haddon,8,Ocean Star Express
55,9780006646006,1,32,2002-07-01,892,HarperCollins UK,HarperCollins UK,Peter Sutton,8,Ocean Star Express
56,9780006751151,1,448,1995-06-01,889,HarperCollins Publishers,HarperCollins Publishers,S.E. Hinton,7,The Collection: The Outsiders / Rumble Fish / That Was Then  This Is Now
